X,CH1
Second,Volt,
5.20e-07,-3.23e-02
5.22e-07,-3.16e-02
5.24e-07,-3.23e-02
5.26e-07,-3.23e-02
5.28e-07,-3.23e-02
5.30e-07,-3.29e-02
5.32e-07,-3.23e-02
5.34e-07,-3.23e-02
5.36e-07,-3.23e-02
5.38e-07,-3.23e-02
5.40e-07,-3.23e-02
5.42e-07,-3.23e-02
5.44e-07,-3.23e-02
5.46e-07,-3.23e-02
5.48e-07,-3.23e-02
5.50e-07,-3.29e-02
5.52e-07,-3.23e-02
5.54e-07,-3.23e-02
5.56e-07,-3.16e-02
5.58e-07,-3.29e-02
5.60e-07,-3.16e-02
5.62e-07,-3.29e-02
5.64e-07,-3.16e-02
5.66e-07,-3.29e-02
5.68e-07,-3.23e-02
5.70e-07,-3.16e-02
5.72e-07,-3.16e-02
5.74e-07,-3.29e-02
5.76e-07,-3.16e-02
5.78e-07,-3.23e-02
5.80e-07,-3.23e-02
5.82e-07,-3.23e-02
5.84e-07,-3.16e-02
5.86e-07,-3.23e-02
5.88e-07,-3.16e-02
5.90e-07,-3.29e-02
5.92e-07,-3.16e-02
5.94e-07,-3.23e-02
5.96e-07,-3.16e-02
5.98e-07,-3.23e-02
6.00e-07,-3.16e-02
6.02e-07,-3.23e-02
6.04e-07,-3.16e-02
6.06e-07,-3.23e-02
6.08e-07,-3.16e-02
6.10e-07,-3.23e-02
6.12e-07,-3.16e-02
6.14e-07,-3.23e-02
6.16e-07,-3.16e-02
6.18e-07,-3.29e-02
6.20e-07,-3.16e-02
6.22e-07,-3.23e-02
6.24e-07,-3.16e-02
6.26e-07,-3.29e-02
6.28e-07,-3.16e-02
6.30e-07,-3.23e-02
6.32e-07,-3.16e-02
6.34e-07,-3.23e-02
6.36e-07,-3.23e-02
6.38e-07,-3.16e-02
6.40e-07,-3.16e-02
6.42e-07,-3.23e-02
6.44e-07,-3.16e-02
6.46e-07,-3.29e-02
6.48e-07,-3.16e-02
6.50e-07,-3.23e-02
6.52e-07,-3.16e-02
6.54e-07,-3.23e-02
6.56e-07,-3.16e-02
6.58e-07,-3.23e-02
6.60e-07,-3.16e-02
6.62e-07,-3.23e-02
6.64e-07,-3.16e-02
6.66e-07,-3.23e-02
6.68e-07,-3.16e-02
6.70e-07,-3.23e-02
6.72e-07,-3.23e-02
6.74e-07,-3.29e-02
6.76e-07,-3.23e-02
6.78e-07,-3.23e-02
6.80e-07,-3.16e-02
6.82e-07,-3.29e-02
6.84e-07,-3.16e-02
6.86e-07,-3.23e-02
6.88e-07,-3.16e-02
6.90e-07,-3.23e-02
6.92e-07,-3.23e-02
6.94e-07,-3.29e-02
6.96e-07,-3.16e-02
6.98e-07,-3.29e-02
7.00e-07,-3.16e-02
7.02e-07,-3.29e-02
7.04e-07,-3.16e-02
7.06e-07,-3.29e-02
7.08e-07,-3.16e-02
7.10e-07,-3.29e-02
7.12e-07,-3.23e-02
7.14e-07,-3.23e-02
7.16e-07,-3.23e-02
7.18e-07,-3.29e-02
7.20e-07,-3.23e-02
7.22e-07,-3.16e-02
7.24e-07,-3.16e-02
7.26e-07,-3.29e-02
7.28e-07,-3.16e-02
7.30e-07,-3.29e-02
7.32e-07,-3.16e-02
7.34e-07,-3.23e-02
7.36e-07,-3.16e-02
7.38e-07,-3.23e-02
7.40e-07,-3.23e-02
7.42e-07,-3.29e-02
7.44e-07,-3.29e-02
